Artist,nov17,mar18,value_growth
Eugène Boudin ,"['Portrieux, le port marée basse USD 87,500 14 ½ x 23 1/8 in. (37 x 58.7 cm.)|', 'Villerville, Rivage, marée montante octobre USD 612,500 21 7/8 x 36 ¼ in. (55.6 x 92.3 cm.)|', 'Voiliers, marée basse USD 37,500 14 x 18 3/8 in. (35.5 x 46.8 cm.)|', 'Le quai de Camaret, Pêcheur attendant la marée USD 175,000 14 ½ x 23 in. (36.8 x 58.4 cm.)|', 'Trouville, les jetées, marée haute USD 237,500 12 3/8 x 15 7/8 in. (31.5 x 40.3 cm.)|']","['Le pont Corneille, Rouen, effet de brouillard GBP 56,250 16 1/8 x 21 7/8 in. (41.3 x 55.7 cm.)|']",
Eugène Boudin ,"['Voiliers, marée basse USD 37,500 14 x 18 3/8 in. (35.5 x 46.8 cm.)|', 'Le quai de Camaret, Pêcheur attendant la marée USD 175,000 14 ½ x 23 in. (36.8 x 58.4 cm.)|', 'Villerville, Rivage, marée montante octobre USD 612,500 21 7/8 x 36 ¼ in. (55.6 x 92.3 cm.)|', 'Portrieux, le port marée basse USD 87,500 14 ½ x 23 1/8 in. (37 x 58.7 cm.)|', 'Trouville, les jetées, marée haute USD 237,500 12 3/8 x 15 7/8 in. (31.5 x 40.3 cm.)|']",,
Eugène Boudin ,"['Le quai de Camaret, Pêcheur attendant la marée USD 175,000 14 ½ x 23 in. (36.8 x 58.4 cm.)|', 'Trouville, les jetées, marée haute USD 237,500 12 3/8 x 15 7/8 in. (31.5 x 40.3 cm.)|', 'Portrieux, le port marée basse USD 87,500 14 ½ x 23 1/8 in. (37 x 58.7 cm.)|', 'Voiliers, marée basse USD 37,500 14 x 18 3/8 in. (35.5 x 46.8 cm.)|', 'Villerville, Rivage, marée montante octobre USD 612,500 21 7/8 x 36 ¼ in. (55.6 x 92.3 cm.)|']",,
Fernand Léger ,Average Value: 702500.0,Average Value:90104.60900000001,-87.17372113879003
Fernand Léger ,Similar Objects,Similar Objects,
Fernand Léger ,"['Tête de femme (Figure II) USD 948,500 25 ½ x 19 5/8 in. (65 x 50 cm.)|', 'Composition avec vase (Nature morte avec vase) USD 456,500 19 5/8 x 25 ½ in. (50 x 64.8 cm.)|']","['La femme à la rose GBP 224,750 13 x 16 1/8 in. (33 x 41 cm.)|', 'Le pot de fleur GBP 23,750 10 7/8 x 8 in. (27.7 x 20.2 cm.)|']",
Fernand Léger ,"['Composition avec vase (Nature morte avec vase) USD 456,500 19 5/8 x 25 ½ in. (50 x 64.8 cm.)|', 'Tête de femme (Figure II) USD 948,500 25 ½ x 19 5/8 in. (65 x 50 cm.)|']","['Le pot de fleur GBP 23,750 10 7/8 x 8 in. (27.7 x 20.2 cm.)|', 'La femme à la rose GBP 224,750 13 x 16 1/8 in. (33 x 41 cm.)|']",
Francis Picabia ,Average Value: 87500.0,Average Value:58921.525,-32.661114285714284
Francis Picabia ,Similar Objects,Similar Objects,
Francis Picabia ,"['Martigues USD 87,500 15 1/8 x 18 ¼ in. (38.5 x 46.4 cm.)|']","['Composition abstraite GBP 81,250 21 3/4 x 18 1/4 in. (55.3 x 46.3 cm.)|']",
Georges Braque ,Average Value: 43750.0,Average Value:74936.09333333334,71.28249904761905
Georges Braque ,Similar Objects,Similar Objects,
Georges Braque ,,"['Verre et fruits GBP 187,500 9 1/2 x 13 3/4 in. (24 x 35 cm.)|', ""L'oiseau de feu GBP 62,500 11 x 19 3/4 in. (28 x 50 cm.)|""]",
Georges Braque ,,"[""L'oiseau de feu GBP 62,500 11 x 19 3/4 in. (28 x 50 cm.)|"", 'Verre et fruits GBP 187,500 9 1/2 x 13 3/4 in. (24 x 35 cm.)|']",
Georges Braque ,,"['Hespéris GBP 60,000 Height: 17 3/4 in. (45 cm.)|']",
Georges Rouault ,Average Value: 243000.0,Average Value:25381.58,-89.55490534979424
Georges Rouault ,Similar Objects,Similar Objects,
Georges Rouault ,"['Pierrot (à la lune) USD 137,500 25 ½ x 19 5/8 in. (64.8 x 49.9 cm.)|', 'Fille de cirque (Reine de Saba) USD 348,500 21 ½ x 16 1/8 in. (57.2 x 41 cm.)|']","['Christ de profil GBP 35,000 13 5/8 x 11 3/8 in. (34.5 x 28.5 cm.)|']",
Georges Rouault ,"['Fille de cirque (Reine de Saba) USD 348,500 21 ½ x 16 1/8 in. (57.2 x 41 cm.)|', 'Pierrot (à la lune) USD 137,500 25 ½ x 19 5/8 in. (64.8 x 49.9 cm.)|']",,
Giacomo Manzù ,Average Value: 12500.0,Average Value:23568.61,88.54888
Giacomo Manzù ,Similar Objects,Similar Objects,
Giacomo Manzù ,"['Guerriero in piedi USD 12,500 Height: 50 in. (127 cm.)|']","['Striptease GBP 32,500 Height: 22 in. (56.5 cm.)|']",
Henri Le Sidaner ,Average Value: 45833.333333333336,Average Value:37619.1275,-17.921903636363638
Henri Le Sidaner ,Similar Objects,Similar Objects,
